date,subject,student_name,registration_number,email,attendance_status
2024-11-26,full stack,Aasheesh Daniel Joseph,24MCA1036,aasheesh.joseph.24mca1036@university.com,Absent
2024-11-26,full stack,Shubham Valecha,24MCA1005,shubham.valecha.24mca1005@university.com,Absent
2024-11-26,full stack,Rajdeep Aich,24MCA1054,rajdeep.aich.24mca1054@university.com,Absent
2024-11-26,full stack,Karthik Reddy,24MCA1071,karthik.reddy.24mca1071@university.com,Absent
2024-11-26,full stack,Sarah Khan,24MCA1032,sarah.khan.24mca1032@university.com,Absent
2024-11-26,full stack,Ajay Prasad,24MCA1010,ajay.prasad.24mca1010@university.com,Absent
2024-11-26,full stack,Shreya Mehta,24MCA1043,shreya.mehta.24mca1043@university.com,Absent
2024-11-26,full stack,Rahul Sharma,24MCA1020,rahul.sharma.24mca1020@university.com,Absent
2024-11-26,full stack,Sandeep Jain,24MCA1053,sandeep.jain.24mca1053@university.com,Absent
2024-11-26,full stack,Meenakshi Iyer,24MCA1067,meenakshi.iyer.24mca1067@university.com,Absent
2024-11-26,full stack,Varun Chauhan,24MCA1033,varun.chauhan.24mca1033@university.com,Absent
2024-11-26,full stack,Preeti Sharma,24MCA1040,preeti.sharma.24mca1040@university.com,Absent
2024-11-26,full stack,Kunal Kapoor,24MCA1072,kunal.kapoor.24mca1072@university.com,Absent
2024-11-26,full stack,Sneha Dubey,24MCA1042,sneha.dubey.24mca1042@university.com,Absent
2024-11-26,full stack,Aditya Singh,24MCA1015,aditya.singh.24mca1015@university.com,Absent
2024-11-26,full stack,Anjali Pathak,24MCA1060,anjali.pathak.24mca1060@university.com,Absent
2024-11-26,full stack,Vinay Patel,24MCA1035,vinay.patel.24mca1035@university.com,Absent
2024-11-26,full stack,Mohit Saini,24MCA1055,mohit.saini.24mca1055@university.com,Absent
2024-11-26,full stack,Neha Yadav,24MCA1030,neha.yadav.24mca1030@university.com,Absent
2024-11-26,full stack,Ramesh Pillai,24MCA1063,ramesh.pillai.24mca1063@university.com,Absent
2024-11-26,full stack,Nisha Gupta,24MCA1057,nisha.gupta.24mca1057@university.com,Absent
2024-11-26,full stack,Tushar Verma,24MCA1002,tushar.verma.24mca1002@university.com,Absent
2024-11-26,full stack,Priyanka Sharma,24MCA1073,priyanka.sharma.24mca1073@university.com,Absent
2024-11-26,full stack,Lokesh Kumar,24MCA1074,lokesh.kumar.24mca1074@university.com,Absent
2024-11-26,full stack,Kavita Patel,24MCA1006,kavita.patel.24mca1006@university.com,Absent
2024-11-26,full stack,Rajesh Rao,24MCA1064,rajesh.rao.24mca1064@university.com,Absent
2024-11-26,full stack,Smriti Mishra,24MCA1019,smriti.mishra.24mca1019@university.com,Absent
2024-11-26,full stack,Anil Bansal,24MCA1028,anil.bansal.24mca1028@university.com,Absent
2024-11-26,full stack,Arjun Pratap Singh,24MCA1056,arjun.singh.24mca1056@university.com,Absent
2024-11-26,full stack,Shruti Verma,24MCA1029,shruti.verma.24mca1029@university.com,Absent
2024-11-26,full stack,ranu,23MCA10000,ritikkhare012000@gmail.com,Absent
2024-11-26,full stack,Rupayan,23MCA1008,rupayanpaul222@gmail.com,Absent
2024-11-27,full stack,Hrithik Roshan,24mca1026,ebsveikg@college.edu,Present
2024-11-27,full stack,Henry Cavill,24mca1025,afhngvup@example.com,Present
2024-11-27,full stack,Ashish kumar,24mca1010,adzzpwjv@student.org,Present
2024-11-27,full stack,Elizabeth Olsen,24mca1023,sfjptgjb@student.org,Present
2024-11-27,full stack,Jeffrey Thomas,24mca1028,fmmbawve@student.org,Present
2024-11-27,full stack,Shubham Kumar,24mca1052,ahavzdkd@college.edu,Present
2024-11-27,full stack,Krishna Singh Rathore,24mca1033,xndlhwsh@example.com,Present
2024-11-27,full stack,Vaibhav joshi,24mca1057,imlrtdlo@student.org,Present
2024-11-27,full stack,Nikhil Sharma,24mca1040,dmjowvoe@example.com,Present
2024-11-27,full stack,Ellen Degeneres,24mca1024,qjchnwfg@college.edu,Present
2024-11-27,full stack,Kiran behera,24mca1032,kxkwzjvl@student.org,Present
2024-11-27,full stack,Ashutosh Rana,24mca1011,axuajpzb@college.edu,Present
2024-11-27,full stack,Piyush Kumar,24mca1042,zgoufzlg@college.edu,Present
2024-11-27,full stack,Natalie Portman,24mca1039,jqpiyxpa@college.edu,Present
2024-11-27,full stack,Alia Bhatt,24mca1005,nfhsoqzr@example.com,Present
2024-11-27,full stack,Simran Roy,24mca1054,ztwfslfu@college.edu,Present
2024-11-27,full stack,Margot Robbie,24mca1036,ghnwsekj@college.edu,Present
2024-11-27,full stack,S Arya,24mca1049,tlfluurj@example.com,Present
2024-11-27,full stack,Shubham Valecha,24mca1053,qczyvzqc@college.edu,Present
2024-11-27,full stack,Dwayne Johnson,24mca1021,ebqnlqzm@student.org,Present
2024-11-27,full stack,Robert Downey Jr,24mca1047,spspnumn@student.org,Present
2024-11-27,full stack,Tom Cruise,24mca1056,vfrsampz@student.org,Present
2024-11-27,full stack,Camila Cabello,24mca1015,jjwvkigj@example.com,Present
2024-11-27,full stack,Lisa Kudrow,24mca1034,tnokputi@example.com,Present
2024-11-27,full stack,E. Gokulnath,24mca1022,fnyjinkw@student.org,Present
2024-11-27,full stack,Sanskar kumar,24mca1050,ejwitmli@example.com,Present
2024-11-27,full stack,Andy Samberg,24mca1008,athwqvja@example.com,Present
2024-11-27,full stack,Taslim Ahmad,24mca1055,eqbuqsek@example.com,Present
2024-11-27,full stack,Claire Holt,24mca1017,lxbvwkfa@example.com,Present
2024-11-27,full stack,Brad Pitt,24mca1014,popybnjy@college.edu,Present
2024-11-27,full stack,Priya Gupta,24mca1043,pzznbqro@college.edu,Present
2024-11-27,full stack,Aakansha Singh,24mca1001,lvsqkxvi@example.com,Present
2024-11-27,full stack,Charlize Theron,24mca1016,ukxqkqhh@example.com,Present
2024-11-27,full stack,Bhargava Ram,24mca1012,rpwbxiqa@example.com,Present
2024-11-27,full stack,Akshay Kumar,24mca1003,hafupopg@student.org,Present
2024-11-27,full stack,Alexandra Daddario,24mca1004,heieofgg@example.com,Present
2024-11-27,full stack,Roger Federer,24mca1048,variqlhr@student.org,Present
2024-11-27,full stack,DHANUSHYA,24mca1019,rqcrdpnc@student.org,Present
2024-11-27,full stack,Mitul Pipaliya,24mca1038,wbiwxreh@college.edu,Present
2024-11-27,full stack,Shanuwaz Shaikh,24mca1051,pltoqmce@college.edu,Present
2024-11-27,full stack,Vijay Deverakonda,24mca1059,zdtyqpoi@student.org,Present
2024-11-27,full stack,RAJKUMAR C,24mca1046,xsubetmr@college.edu,Present
2024-11-27,full stack,Anushka Sharma,24mca1009,oumydnwh@college.edu,Present
2024-11-27,full stack,Priyanka Chopra,24mca1044,ezmqswjh@student.org,Present
2024-11-27,full stack,Kashyap,24mca1031,kgjnhanj@college.edu,Present
2024-11-27,full stack,Nishant pandey,24mca1041,ftsctrzg@college.edu,Present
2024-11-27,full stack,Courtney Cox,24mca1018,wvuovdkr@student.org,Present
2024-11-27,full stack,Hugh Jackman,24mca1027,qirmhotu@example.com,Present
2024-11-27,full stack,Billie Eilish,24mca1013,ltgnlgtm@example.com,Present
2024-11-27,full stack,Vaishnavi Naidu,24mca1058,zsyujscr@college.edu,Present
2024-11-27,full stack,Yogendra,24mca1063,unjurulg@student.org,Present
2024-11-27,full stack,Marmik,24mca1037,kgwzvrnx@student.org,Present
2024-11-27,full stack,Dhruv Tiwari,24mca1020,yiweehqr@example.com,Present
2024-11-27,full stack,Aasheesh Daniel Joseph,24mca1002,wnygaazn@example.com,Present
2024-11-27,full stack,Jessica Alba,24mca1029,yzymhobp@college.edu,Present
2024-11-27,full stack,Vivek Samadhiya,24mca1062,xoqskivx@college.edu,Present
2024-11-27,full stack,Amitabh Bachchan,24mca1006,mbzcyqni@example.com,Present
2024-11-27,full stack,Man,24mca1035,zjpxtbmq@college.edu,Present
2024-11-27,full stack,Anand Kumar,24mca1007,ohxksbqq@example.com,Present
